Project_ID,Cost_Center,Supplier,PO_Requested,Forecast_Amount,Actuals_Amount,Budget_Remaining,Compliance_Flag,Variance
CUST-0001	HR	Venom	37141	58679	64146	21538	0	5467
CUST-0002	Operations	Anthrax	7487	21728	17534	14241	0	-4194
CUST-0003	Operations	Dio	10915	42600	38502	31685	0	-4098
CUST-0004	HR	Manowar	8681	30669	31670	21988	0	1001
CUST-0005	Finance	Saxon	20245	75525	64834	55280	0	-10691
CUST-0006	Marketing	Saxon	44430	21980	21637	-22450	0	-343
CUST-0007	Marketing	Saxon	19339	99908	107632	80569	0	7724
CUST-0008	Marketing	Saxon	6306	91087	85890	84781	0	-5197
CUST-0009	HR	Dio	39501	54357	44635	14856	1	-9722
CUST-0010	Operations	Venom	36325	91937	86831	55612	0	-5106
CUST-0011	HR	Venom	5044	17871	18844	12827	0	973
CUST-0012	HR	Queensrÿche	26740	17834	21080	-8906	0	3246
CUST-0013	Technology	Twisted Sister	45247	56598	46381	11351	0	-10217
CUST-0014	Operations	W.A.S.P.	18203	94485	86611	76282	0	-7874
CUST-0015	Technology	Dio	13551	30174	31851	16623	0	1677
CUST-0016	Logistics	Queensrÿche	27331	80300	66707	52969	1	-13593
CUST-0017	Operations	Slayer	16630	24076	21127	7446	0	-2949
CUST-0018	Operations	Slayer	26206	26492	27848	286	0	1356
CUST-0019	Operations	Megadeth	8903	73942	81770	65039	0	7828
CUST-0020	Marketing	Iron Maiden	6436	40497	42096	34061	0	1599
CUST-0021	Marketing	Megadeth	14680	51515	44656	36835	0	-6859
CUST-0022	Technology	Iron Maiden	43444	83184	77281	39740	0	-5903
CUST-0023	Technology	Iron Maiden	14283	94495	87548	80212	0	-6947
CUST-0024	Operations	Iron Maiden	12269	55523	63185	43254	0	7662
CUST-0025	Technology	Anthrax	39491	67503	75600	28012	0	8097
CUST-0026	Marketing	Saxon	28913	35292	32065	6379	0	-3227
CUST-0027	HR	Pantera	9753	12798	13811	3045	1	1013
CUST-0028	HR	Manowar	29483	59514	56241	30031	0	-3273
CUST-0029	HR	Slayer	48393	56945	57729	8552	0	784
CUST-0030	Technology	Saxon	30925	27659	26017	-3266	0	-1642
CUST-0031	Logistics	Iron Maiden	43405	42859	36751	-546	0	-6108
CUST-0032	Marketing	Pantera	11621	15175	12971	3554	0	-2204
CUST-0033	Logistics	Anthrax	27056	73609	67173	46553	0	-6436
CUST-0034	Technology	Judas Priest	24776	67344	74854	42568	0	7510
CUST-0035	Finance	W.A.S.P.	26142	83272	80340	57130	0	-2932
CUST-0036	Sales	Anthrax	13942	48628	56815	34686	0	8187
CUST-0037	Sales	Dio	15322	81137	70200	65815	1	-10937
CUST-0038	Operations	Pantera	33630	74237	65859	40607	1	-8378
CUST-0039	Sales	Saxon	46894	34874	34921	-12020	0	47
CUST-0040	Sales	Metallica	36929	84278	95455	47349	0	11177
CUST-0041	Marketing	Megadeth	47544	34461	38528	-13083	0	4067
CUST-0042	HR	Metallica	25793	81253	83159	55460	0	1906
CUST-0043	Logistics	Pantera	16416	55569	59784	39153	0	4215
CUST-0044	Finance	Twisted Sister	41829	52425	61913	10596	0	9488
CUST-0045	Finance	Slayer	45220	71393	81275	26173	0	9882
CUST-0046	Marketing	W.A.S.P.	28384	46087	50005	17703	0	3918
CUST-0047	Marketing	Dio	19630	88470	95627	68840	0	7157
CUST-0048	Sales	Dio	48616	82682	92689	34066	0	10007
CUST-0049	Finance	Anthrax	43597	31016	29990	-12581	0	-1026
CUST-0050	Operations	Queensrÿche	16491	19027	22193	2536	0	3166
CUST-0051	Operations	Anthrax	29797	79617	67405	49820	0	-12212
CUST-0052	Logistics	Queensrÿche	25107	30319	25846	5212	0	-4473
CUST-0053	Operations	Venom	24301	68901	55599	44600	0	-13302
CUST-0054	Finance	Manowar	13345	48754	45793	35409	0	-2961
CUST-0055	Sales	Queensrÿche	16646	44517	47919	27871	1	3402
CUST-0056	Finance	Judas Priest	5117	80989	69294	75872	0	-11695
CUST-0057	Technology	Twisted Sister	42541	58118	56768	15577	0	-1350
CUST-0058	Finance	Venom	30663	69517	83075	38854	0	13558
CUST-0059	Sales	Pantera	42190	10094	10187	-32096	0	93
CUST-0060	Operations	Pantera	7122	93627	111233	86505	0	17606
CUST-0061	HR	Slayer	16932	76316	66309	59384	0	-10007
CUST-0062	Logistics	Iron Maiden	44478	59681	55018	15203	0	-4663
CUST-0063	Technology	Dio	25854	34318	37673	8464	0	3355
CUST-0064	Operations	Metallica	45067	12453	10553	-32614	0	-1900
CUST-0065	Logistics	Twisted Sister	19476	91229	77680	71753	0	-13549
